frame.time,ip.src,ip.dst,_ws.col.protocol,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"Aug 31, 2025 20:03:10.715147093 EDT","192.168.64.8","8.8.8.8","ICMP","98",,,,
"Aug 31, 2025 20:03:10.721203479 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"35476","53"
"Aug 31, 2025 20:03:10.721216937 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"35476","53"
"Aug 31, 2025 20:03:10.721344020 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"60379","53"
"Aug 31, 2025 20:03:10.721349270 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"60379","53"
"Aug 31, 2025 20:03:10.721426770 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"54347","53"
"Aug 31, 2025 20:03:10.721435811 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"54347","53"
"Aug 31, 2025 20:03:10.723436135 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"43733","53"
"Aug 31, 2025 20:03:10.723446468 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"43733","53"
"Aug 31, 2025 20:03:10.725933581 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"45914","53"
"Aug 31, 2025 20:03:10.725942831 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"45914","53"
"Aug 31, 2025 20:03:10.728408860 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"37048","53"
"Aug 31, 2025 20:03:10.728418068 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"37048","53"
"Aug 31, 2025 20:03:10.729289314 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"58400","53"
"Aug 31, 2025 20:03:10.729296897 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"58400","53"
"Aug 31, 2025 20:03:10.731481970 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"54735","53"
"Aug 31, 2025 20:03:10.731489720 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"54735","53"
"Aug 31, 2025 20:03:10.732573756 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"32954","53"
"Aug 31, 2025 20:03:10.732578964 EDT","192.168.64.8","192.168.64.1","DNS","68",,,"32954","53"
"Aug 31, 2025 20:03:10.732699839 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"52662","53"
"Aug 31, 2025 20:03:10.732701380 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"52662","53"
"Aug 31, 2025 20:03:10.733358711 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"48186","53"
"Aug 31, 2025 20:03:10.733363086 EDT","192.168.64.8","192.168.64.1","DNS","71",,,"48186","53"
"Aug 31, 2025 20:03:10.733582543 EDT",,,"ARP","42",,,,
"Aug 31, 2025 20:03:10.733589751 EDT",,,"ARP","42",,,,
"Aug 31, 2025 20:03:10.733582626 EDT","192.168.64.1","192.168.64.8","DNS","166",,,"53","52662"
"Aug 31, 2025 20:03:10.733582626 EDT",,,"ARP","42",,,,
"Aug 31, 2025 20:03:10.733606709 EDT",,,"ARP","42",,,,
"Aug 31, 2025 20:03:10.733582668 EDT","192.168.64.1","192.168.64.8","DNS","182",,,"53","52662"
"Aug 31, 2025 20:03:10.734017874 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"59731","53"
"Aug 31, 2025 20:03:10.734025916 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"59731","53"
"Aug 31, 2025 20:03:10.734142957 EDT",,,"TCP","94","42792","443",,
"Aug 31, 2025 20:03:10.734973203 EDT","192.168.64.1","192.168.64.8","DNS","166",,,"53","59731"
"Aug 31, 2025 20:03:10.734973328 EDT","192.168.64.1","192.168.64.8","DNS","182",,,"53","59731"
"Aug 31, 2025 20:03:10.735626866 EDT",,,"TCP","94","42804","443",,
"Aug 31, 2025 20:03:10.736161697 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"53279","53"
"Aug 31, 2025 20:03:10.736168363 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"53279","53"
"Aug 31, 2025 20:03:10.736755527 EDT","192.168.64.1","192.168.64.8","DNS","166",,,"53","53279"
"Aug 31, 2025 20:03:10.736755860 EDT","192.168.64.1","192.168.64.8","DNS","182",,,"53","53279"
"Aug 31, 2025 20:03:10.737549273 EDT",,,"TCP","94","42818","443",,
"Aug 31, 2025 20:03:10.737898146 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"59358","53"
"Aug 31, 2025 20:03:10.737903688 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"59358","53"
"Aug 31, 2025 20:03:10.738013604 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"58767","53"
"Aug 31, 2025 20:03:10.738019479 EDT","192.168.64.8","192.168.64.1","DNS","70",,,"58767","53"
"Aug 31, 2025 20:03:10.738127812 EDT","8.8.8.8","192.168.64.8","ICMP","98",,,,
"Aug 31, 2025 20:03:10.738680726 EDT","192.168.64.1","192.168.64.8","DNS","166",,,"53","59358"
"Aug 31, 2025 20:03:10.738680892 EDT","192.168.64.1","192.168.64.8","DNS","182",,,"53","59358"
"Aug 31, 2025 20:03:10.738680934 EDT","192.168.64.1","192.168.64.8","DNS","166",,,"53","58767"
